Census Tract,Total Population,California County,ZIP,Approximate Location,Longitude,Latitude,CES 4.0 Score,CES 4.0 Percentile,CES 4.0 Percentile Range,Ozone,Ozone Pctl,PM2.5,PM2.5 Pctl,Diesel PM,Diesel PM Pctl,Drinking Water,Drinking Water Pctl,Lead,Lead Pctl,Pesticides,Pesticides Pctl,Tox. Release,Tox. Release Pctl,Traffic,Traffic Pctl,Cleanup Sites,Cleanup Sites Pctl,Groundwater Threats,Groundwater Threats Pctl,Haz. Waste,Haz. Waste Pctl,Imp. Water Bodies,Imp. Water Bodies Pctl,Solid Waste,Solid Waste Pctl,Pollution Burden,Pollution Burden Score,Pollution Burden Pctl,Asthma,Asthma Pctl,Low Birth Weight,Low Birth Weight Pctl,Cardiovascular Disease,Cardiovascular Disease Pctl,Education,Education Pctl,Linguistic Isolation,Linguistic Isolation Pctl,Poverty,Poverty Pctl,Unemployment,Unemployment Pctl,Housing Burden,Housing Burden Pctl,Pop. Char. ,Pop. Char. Score,Pop. Char. Pctl
6037228320,3122,Los Angeles,90011,Los Angeles,-118.2636361,34.0078219,53.3628460177636,91.2128088754413,90-95%,0.04539285,42.5637834474175,12.06807983,82.4642190416926,0.144743026,49.968886123211,787.9403354,92.5315349069564,91.50010282,97.8323881537492,0,0,2963.830038,84.7211802950738,740.8897098,39.55,1.25,18.9809630459127,0,0,0.15,26.6710787557909,0,0,4.5,72.3940435280641,48.6724050193262,5.94289098509179,66.9072806471686,69.72,78.4022931206381,6.57,84.526558891455,22.77,94.9027916251246,65.9,99.7722095671982,20.3,87.0212478007849,62.9,93.6055276381909,6,57.2488287350338,39,98.2509505703422,86.561817037358,8.97927391763175,97.6424609178013
6037232110,3038,Los Angeles,90037,Los Angeles,-118.2893178,33.9994947,53.035590118234,90.8850226928896,90-95%,0.04490202,39.9875544492844,11.96948377,76.8014934660859,0.109034851,40.161792159303,787.9403354,92.5315349069564,90.7509614,97.2904851921865,0,0,3104.243327,85.1837959489873,1020.806474,59.1875,9.8,60.1530421799179,0,0,0.145,24.7121111846459,0,0,0,0,46.5863565678712,5.68818488351957,61.1325451151213,100.68,92.8838484546361,6.61,85.1680780087247,20.14,87.8240279162512,49.2,96.1149076183245,18.2,83.840844498579,63.7,94.1331658291457,9.1,82.3269130661114,42.9,99.2902408111534,89.8832662456001,9.32381615652023,99.1048915784165
6037228220,4375,Los Angeles,90011,Los Angeles,-118.2513193,34.0060455,52.8213676433267,90.7211296016137,90-95%,0.04588368,44.9782202862477,12.15734144,87.255756067206,0.162896046,54.4617299315495,787.9403354,92.5315349069564,93.31574808,98.8783868935098,0,0,3131.960002,85.3338334583646,755.7290663,40.9375,8.75,54.6099290780142,0.3,2.10858376224473,0.055,7.65056254136334,0,0,1,35.7159221076747,48.7037466279393,5.94671778927809,67.0192906036092,69.72,78.4022931206381,5.64,67.654606107262,22.77,94.9027916251246,55.4,98.4054669703873,17.8,82.8393557991609,67.1,96.0929648241206,8.8,80.3878188443519,36.2,96.958174904943,85.6283266098005,8.88244061935535,97.0625315179022
6037600902,6491,Los Angeles,90302,Inglewood,-118.3522568,33.9720411,52.557162327233,90.5824508320726,90-95%,0.0438112,35.1586807716241,11.91340435,73.6652146857498,0.179141839,58.1456129433727,443.831967,53.453228425128,73.59989665,83.1379962192817,0,0,3392.523356,86.3090772693173,816.2428692,45.3375,1,17.077267637178,4.5,27.7602523659306,1.2,87.8226340172072,0,0,5,75.6701030927835,50.1559596670794,6.12403271290497,70.752955818295,93.09,90.4661016949153,6.8,87.6828329484219,18.02,80.6954137587238,22,68.2485446722349,10.6,64.1358776559751,55.7,87.8768844221106,9.9,85.8276939094222,29.6,89.8352344740177,82.7331482470529,8.58211652208863,95.0706001008573
6037218800,2752,Los Angeles,90018,Los Angeles,-118.3230095,34.0377797,52.4860313191482,90.5068078668684,90-95%,0.04588368,44.9782202862477,12.0039133,78.431860609832,0.600982371,92.9807093963908,787.9403354,92.5315349069564,69.73071315,78.8657844990548,0,0,2073.416972,80.0450112528132,4170.190184,99,7,50.3172825681224,15,59.604848082351,0.785,80.9927200529451,0,0,0,0,59.9637501261691,7.32156197984483,90.8151835718731,61.72,71.1365902293121,7.73,95.2655889145497,12.24,47.8813559322034,24.4,72.0830169577322,19.1,85.2483421301935,36.8,64.3718592964824,4.3,35.0208224882874,24,77.2116603295311,69.1074926329002,7.16869316460537,79.0468986384266
6037231800,5436,Los Angeles,90037,Los Angeles,-118.2774651,34.0074446,52.4315439400276,90.4563792233989,90-95%,0.04539285,42.5637834474175,12.0084908,78.6434349719975,0.926036877,97.7224642190417,787.9403354,92.5315349069564,96.48511158,99.8361688720857,0,0,2922.25,84.5211302825706,2446.699998,92.1,1.3,19.2235908921239,0,0,0.145,24.7121111846459,0,0,8,86.5063001145475,57.689343204427,7.04385734646407,87.2682016179216,50.62,57.4900299102692,5.35,61.008468052348,12.03,46.2612163509472,63.4,99.6330043027082,36.7,98.0240898633103,72.6,98.2788944723618,5.3,48.2561166059344,40.6,98.7832699619772,71.7574899062232,7.44358401385679,82.5012607160867
6037208903,4345,Los Angeles,90057,Los Angeles,-118.2733596,34.0597996,52.4116474094074,90.4311649016641,90-95%,0.04756207,51.8979464841319,12.20870236,88.462974486621,0.261264881,71.8481642812694,787.9403354,92.5315349069564,80.42984815,89.653434152489,0,0,1908.139669,78.269567391848,1030.418777,59.9625,2.2,26.0731616274729,2.8,17.4663788809563,0.325,53.5142289874255,0,0,0,0,50.8557614416666,6.2094783705809,72.4455507156192,74.85,81.9666001994018,4.72,44.4701052091352,19.42,85.6804586241276,62,99.4937990382182,54.1,99.7022601163892,75.2,98.7939698492462,7.3,69.9765747006767,31.1,92.1926489226869,81.3687859348325,8.4405878048826,93.8603126575895
6037209403,4148,Los Angeles,90017,Los Angeles,-118.2738446,34.0531328,52.1538461178768,90.2042360060514,90-95%,0.04716458,50.5413814561294,12.23163332,88.985687616677,0.495467319,89.6950840074673,787.9403354,92.5315349069564,75.1061391,84.8015122873346,0,0,2011.592977,79.3448362090523,757.4418663,41.05,9.6,59.7237775289287,6.3,35.6632907189108,0.395,60.2250165453342,0,0,0,0,54.286642026513,6.62838820851708,80.8711885500933,60.46,69.5413758723828,5.83,71.6448550166795,10.01,29.9975074775673,48.4,95.6719817767654,48.7,99.3368520774124,69.8,97.2989949748744,9.5,83.9796980739198,36.1,96.9201520912547,75.8513909605276,7.86825461593548,87.821482602118
6037209401,4472,Los Angeles,90057,Los Angeles,-118.2815247,34.0567212,52.0335281897906,90.1033787191125,90-95%,0.04716458,50.5413814561294,12.17561826,87.778469197262,0.298305705,76.2663347853142,787.9403354,92.5315349069564,71.66633908,81.0207939508507,0,0,1906.099304,78.2320580145036,826.539592,46.1125,5.95,44.8114968271743,11,49.8256682716254,0.19,31.542025148908,0,0,0,0,51.1188687090985,6.24160371567351,73.0802738021157,59.91,68.8559322033898,6.65,85.7711059789582,15.66,69.8778664007976,46.1,94.317894203999,33.5,97.0767356881851,74.3,98.605527638191,5.8,55.0234252993233,26.8,84.4613434727503,80.3659767274358,8.3365638960909,92.8895612708018
6037207301,4911,Los Angeles,90013,Los Angeles,-118.2516175,34.0465369,52.0081886719022,90.052950075643,90-95%,0.04716458,50.5413814561294,12.52185449,91.1636589919104,1.796607322,99.6017423771002,787.9403354,92.5315349069564,60.44327177,66.4398235664776,0.078828614,23.9310344827586,2168.826721,80.7576894223556,669.7749357,33.675,11.6,64.7443075774543,27.3,77.1542420720571,2.205,93.3951025810721,7,66.7366652666947,27,99.495990836197,71.6552426558724,8.74909089544809,98.8923459863099,69.4,77.9536390827517,5.52,65.0243777264563,9.26,23.2427716849452,12.3,49.1900784611491,13.4,72.5131952902964,37.4,65.2763819095477,4.4,36.4393545028631,22.6,72.5982256020279,57.3051883256139,5.94441060144439,61.3842662632375
